"deploymentID", "timestamp", "variable", "value"
30,1524290460,"water temperature",7.418
30,1524291060,"water temperature",7.485
30,1524291660,"water temperature",7.475
30,1524292260,"water temperature",7.542
30,1524292860,"water temperature",7.609
30,1524293460,"water temperature",7.723
30,1524294060,"water temperature",7.817
30,1524294660,"water temperature",7.912
30,1524295260,"water temperature",8.016
30,1524295860,"water temperature",8.176
30,1524296460,"water temperature",8.299
30,1524297060,"water temperature",8.383
30,1524297660,"water temperature",8.468
30,1524298260,"water temperature",8.692
30,1524298860,"water temperature",8.86
30,1524299460,"water temperature",9.027
30,1524300060,"water temperature",9.277
30,1524300660,"water temperature",9.462
30,1524301260,"water temperature",9.628
30,1524301860,"water temperature",9.756
30,1524302460,"water temperature",10.013
30,1524303060,"water temperature",10.205
30,1524303660,"water temperature",10.35
30,1524304260,"water temperature",10.605
30,1524304860,"water temperature",10.777
30,1524305460,"water temperature",10.867
30,1524306060,"water temperature",11.047
30,1524306660,"water temperature",11.29
30,1524307260,"water temperature",11.595
30,1524307860,"water temperature",11.862
30,1524308460,"water temperature",12.031
30,1524309060,"water temperature",12.191
30,1524309660,"water temperature",12.324
30,1524310260,"water temperature",12.492
30,1524310860,"water temperature",12.695
30,1524311460,"water temperature",12.863
30,1524312060,"water temperature",12.942
30,1524312660,"water temperature",13.091
30,1524313260,"water temperature",13.179
30,1524313860,"water temperature",13.249
30,1524314460,"water temperature",13.31
30,1524315060,"water temperature",13.389
30,1524315660,"water temperature",13.406
30,1524316260,"water temperature",13.406
30,1524316860,"water temperature",13.371
30,1524317460,"water temperature",13.363
30,1524318060,"water temperature",13.371
30,1524318660,"water temperature",13.363
30,1524319260,"water temperature",13.31
30,1524319860,"water temperature",13.231
30,1524320460,"water temperature",13.126
30,1524321060,"water temperature",13.056
30,1524321660,"water temperature",12.924
30,1524322260,"water temperature",12.845
30,1524322860,"water temperature",12.731
30,1524323460,"water temperature",12.634
30,1524324060,"water temperature",12.519
30,1524324660,"water temperature",12.315
30,1524325260,"water temperature",12.2
30,1524325860,"water temperature",12.076
30,1524326460,"water temperature",11.898
30,1524327060,"water temperature",11.746
30,1524327660,"water temperature",11.604
30,1524328260,"water temperature",11.416
30,1524328860,"water temperature",11.254
30,1524329460,"water temperature",11.065
30,1524330060,"water temperature",10.912
30,1524330660,"water temperature",10.731
30,1524331260,"water temperature",10.577
30,1524331860,"water temperature",10.468
30,1524332460,"water temperature",10.341
30,1524333060,"water temperature",10.205
30,1524333660,"water temperature",10.077
30,1524334260,"water temperature",9.903
30,1524334860,"water temperature",9.784
30,1524335460,"water temperature",9.637
30,1524336060,"water temperature",9.499
30,1524336660,"water temperature",9.37
30,1524337260,"water temperature",9.231
30,1524337860,"water temperature",9.138
30,1524338460,"water temperature",9.018
30,1524339060,"water temperature",8.916
30,1524339660,"water temperature",8.795
30,1524340260,"water temperature",8.673
30,1524340860,"water temperature",8.599
30,1524341460,"water temperature",8.505
30,1524342060,"water temperature",8.383
30,1524342660,"water temperature",8.289
30,1524343260,"water temperature",8.186
30,1524343860,"water temperature",8.12
30,1524344460,"water temperature",8.044
30,1524345060,"water temperature",7.959
30,1524345660,"water temperature",7.865
30,1524346260,"water temperature",7.77
30,1524346860,"water temperature",7.704
30,1524347460,"water temperature",7.59
30,1524348060,"water temperature",7.59
30,1524348660,"water temperature",7.513
30,1524349260,"water temperature",7.456
30,1524349860,"water temperature",7.38
30,1524350460,"water temperature",7.332
30,1524351060,"water temperature",7.236
30,1524351660,"water temperature",7.208
30,1524352260,"water temperature",7.16
30,1524352860,"water temperature",7.121
30,1524353460,"water temperature",7.054
30,1524354060,"water temperature",7.045
30,1524354660,"water temperature",6.91
30,1524355260,"water temperature",6.92
30,1524355860,"water temperature",6.871
30,1524356460,"water temperature",6.852
30,1524357060,"water temperature",6.785
30,1524357660,"water temperature",6.765
30,1524358260,"water temperature",6.688
30,1524358860,"water temperature",6.698
30,1524359460,"water temperature",6.62
30,1524360060,"water temperature",6.582
30,1524360660,"water temperature",6.553
30,1524361260,"water temperature",6.523
30,1524361860,"water temperature",6.485
30,1524362460,"water temperature",6.426
30,1524363060,"water temperature",6.426
30,1524363660,"water temperature",6.388
30,1524364260,"water temperature",6.349
30,1524364860,"water temperature",6.319
30,1524365460,"water temperature",6.271
30,1524366060,"water temperature",6.261
30,1524366660,"water temperature",6.242
30,1524367260,"water temperature",6.232
30,1524367860,"water temperature",6.183
30,1524368460,"water temperature",6.163
30,1524369060,"water temperature",6.154
30,1524369660,"water temperature",6.105
30,1524370260,"water temperature",6.066
30,1524370860,"water temperature",6.056
30,1524371460,"water temperature",6.036
30,1524372060,"water temperature",6.046
30,1524372660,"water temperature",6.017
30,1524373260,"water temperature",5.997
30,1524373860,"water temperature",5.987
30,1524374460,"water temperature",5.987
30,1524375060,"water temperature",5.997
30,1524375660,"water temperature",5.997
30,1524376260,"water temperature",6.027
30,1524376860,"water temperature",6.066
30,1524377460,"water temperature",6.124
30,1524378060,"water temperature",6.183
30,1524378660,"water temperature",6.3
30,1524379260,"water temperature",6.378
30,1524379860,"water temperature",6.494
30,1524380460,"water temperature",6.62
30,1524381060,"water temperature",6.736
30,1524381660,"water temperature",6.891
30,1524382260,"water temperature",7.073
30,1524382860,"water temperature",7.236
30,1524383460,"water temperature",7.428
30,1524384060,"water temperature",7.618
30,1524384660,"water temperature",7.827
30,1524385260,"water temperature",8.044
30,1524385860,"water temperature",8.27
30,1524386460,"water temperature",8.496
30,1524387060,"water temperature",8.72
30,1524387660,"water temperature",8.962
30,1524388260,"water temperature",9.25
30,1524388860,"water temperature",9.517
30,1524389460,"water temperature",9.766
30,1524390060,"water temperature",10.022
30,1524390660,"water temperature",10.25
30,1524391260,"water temperature",10.505
30,1524391860,"water temperature",10.731
30,1524392460,"water temperature",11.002
30,1524393060,"water temperature",11.254
30,1524393660,"water temperature",11.559
30,1524394260,"water temperature",11.898
30,1524394860,"water temperature",12.102
30,1524395460,"water temperature",12.351
30,1524396060,"water temperature",12.519
30,1524396660,"water temperature",12.704
30,1524397260,"water temperature",12.907
30,1524397860,"water temperature",13.109
30,1524398460,"water temperature",13.258
30,1524399060,"water temperature",13.406
30,1524399660,"water temperature",13.511
30,1524400260,"water temperature",13.607
30,1524400860,"water temperature",13.686
30,1524401460,"water temperature",13.747
30,1524402060,"water temperature",13.843
30,1524402660,"water temperature",13.93
30,1524403260,"water temperature",13.921
30,1524403860,"water temperature",13.938
30,1524404460,"water temperature",13.982
30,1524405060,"water temperature",13.991
30,1524405660,"water temperature",13.991
30,1524406260,"water temperature",13.895
30,1524406860,"water temperature",13.869
30,1524407460,"water temperature",13.782
30,1524408060,"water temperature",13.756
30,1524408660,"water temperature",13.677
30,1524409260,"water temperature",13.66
30,1524409860,"water temperature",13.546
30,1524410460,"water temperature",13.45
30,1524411060,"water temperature",13.336
30,1524411660,"water temperature",13.153
30,1524412260,"water temperature",13.003
30,1524412860,"water temperature",12.854
30,1524413460,"water temperature",12.722
30,1524414060,"water temperature",12.572
30,1524414660,"water temperature",12.448
30,1524415260,"water temperature",12.289
30,1524415860,"water temperature",12.12
30,1524416460,"water temperature",11.934
30,1524417060,"water temperature",11.818
30,1524417660,"water temperature",11.657
30,1524418260,"water temperature",11.604
30,1524418860,"water temperature",11.442
30,1524419460,"water temperature",11.335
30,1524420060,"water temperature",11.227
30,1524420660,"water temperature",11.083
30,1524421260,"water temperature",10.957
30,1524421860,"water temperature",10.822
30,1524422460,"water temperature",10.641
30,1524423060,"water temperature",10.505
30,1524423660,"water temperature",10.369
30,1524424260,"water temperature",10.214
30,1524424860,"water temperature",10.095
30,1524425460,"water temperature",9.995
30,1524426060,"water temperature",9.885
30,1524426660,"water temperature",9.766
30,1524427260,"water temperature",9.646
30,1524427860,"water temperature",9.582
30,1524428460,"water temperature",9.453
30,1524429060,"water temperature",9.351
30,1524429660,"water temperature",9.287
30,1524430260,"water temperature",9.194
30,1524430860,"water temperature",9.138
30,1524431460,"water temperature",9.036
30,1524432060,"water temperature",8.953
30,1524432660,"water temperature",8.841
30,1524433260,"water temperature",8.795
30,1524433860,"water temperature",8.711
30,1524434460,"water temperature",8.645
30,1524435060,"water temperature",8.617
30,1524435660,"water temperature",8.533
30,1524436260,"water temperature",8.458
30,1524436860,"water temperature",8.383
30,1524437460,"water temperature",8.355
30,1524438060,"water temperature",8.308
30,1524438660,"water temperature",8.186
30,1524439260,"water temperature",8.186
30,1524439860,"water temperature",8.12
30,1524440460,"water temperature",8.063
30,1524441060,"water temperature",8.016
30,1524441660,"water temperature",7.978
30,1524442260,"water temperature",7.921
30,1524442860,"water temperature",7.874
30,1524443460,"water temperature",7.836
30,1524444060,"water temperature",7.789
30,1524444660,"water temperature",7.723
30,1524445260,"water temperature",7.656
30,1524445860,"water temperature",7.609
30,1524446460,"water temperature",7.59
30,1524447060,"water temperature",7.561
30,1524447660,"water temperature",7.523
30,1524448260,"water temperature",7.466
30,1524448860,"water temperature",7.408
30,1524449460,"water temperature",7.389
30,1524450060,"water temperature",7.323
30,1524450660,"water temperature",7.313
30,1524451260,"water temperature",7.275
30,1524451860,"water temperature",7.227
30,1524452460,"water temperature",7.16
30,1524453060,"water temperature",7.15
30,1524453660,"water temperature",7.121
30,1524454260,"water temperature",7.093
30,1524454860,"water temperature",7.064
30,1524455460,"water temperature",7.035
30,1524456060,"water temperature",7.006
30,1524456660,"water temperature",6.968
30,1524457260,"water temperature",6.948
30,1524457860,"water temperature",6.958
30,1524458460,"water temperature",6.939
30,1524459060,"water temperature",6.881
30,1524459660,"water temperature",6.881
30,1524460260,"water temperature",6.891
30,1524460860,"water temperature",6.871
30,1524461460,"water temperature",6.891
30,1524462060,"water temperature",6.852
30,1524462660,"water temperature",6.968
30,1524463260,"water temperature",6.958
30,1524463860,"water temperature",6.987
30,1524464460,"water temperature",7.054
30,1524465060,"water temperature",7.141
30,1524465660,"water temperature",7.227
30,1524466260,"water temperature",7.351
30,1524466860,"water temperature",7.418
30,1524467460,"water temperature",7.57
30,1524468060,"water temperature",7.76
30,1524468660,"water temperature",7.884
30,1524469260,"water temperature",8.044
30,1524469860,"water temperature",8.195
30,1524470460,"water temperature",8.421
30,1524471060,"water temperature",8.617
30,1524471660,"water temperature",8.813
30,1524472260,"water temperature",9.046
30,1524472860,"water temperature",9.24
30,1524473460,"water temperature",9.49
30,1524474060,"water temperature",9.72
30,1524474660,"water temperature",10.013
30,1524475260,"water temperature",10.25
30,1524475860,"water temperature",10.523
30,1524476460,"water temperature",10.758
30,1524477060,"water temperature",11.02
30,1524477660,"water temperature",11.2
30,1524478260,"water temperature",11.442
30,1524478860,"water temperature",11.675
30,1524479460,"water temperature",11.942
30,1524480060,"water temperature",12.236
30,1524480660,"water temperature",12.492
30,1524481260,"water temperature",12.731
30,1524481860,"water temperature",12.959
30,1524482460,"water temperature",13.135
30,1524483060,"water temperature",13.371
30,1524483660,"water temperature",13.52
30,1524484260,"water temperature",13.668
30,1524484860,"water temperature",13.799
30,1524485460,"water temperature",13.93
30,1524486060,"water temperature",14.034
30,1524486660,"water temperature",14.138
30,1524487260,"water temperature",14.251
30,1524487860,"water temperature",14.286
30,1524488460,"water temperature",14.381
30,1524489060,"water temperature",14.416
30,1524489660,"water temperature",14.364
30,1524490260,"water temperature",14.329
30,1524490860,"water temperature",14.303
30,1524491460,"water temperature",14.208
30,1524492060,"water temperature",14.208
30,1524492660,"water temperature",14.095
30,1524493260,"water temperature",13.93
30,1524493860,"water temperature",13.86
30,1524494460,"water temperature",13.799
30,1524495060,"water temperature",13.747
30,1524495660,"water temperature",13.642
30,1524496260,"water temperature",13.538
30,1524496860,"water temperature",13.415
30,1524497460,"water temperature",13.249
30,1524498060,"water temperature",13.109
30,1524498660,"water temperature",12.995
30,1524499260,"water temperature",12.889
30,1524499860,"water temperature",12.739
